PassengerId,Cabin,Age,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Name,GroupId,PassengerIdInGroup,MembersOfGroupById,Surname,MembersOfFamilyBySurname,CabinDeck,CabinNum,HomePlanet_Earth,HomePlanet_Europa,HomePlanet_Mars,HomePlanet_Unknown,CryoSleep_False,CryoSleep_True,CryoSleep_Unknown,Destination_55 Cancri e,Destination_PSO J318.5-22,Destination_TRAPPIST-1e,Destination_Unknown,VIP_False,VIP_True,VIP_Unknown,Transported_False,Transported_True,CabinSide_P,CabinSide_S,CabinSide_Unknown,AgeBinned_Child,AgeBinned_Elder,AgeBinned_Senior,AgeBinned_Teenager,AgeBinned_Young
0001_01,B/0/P,39.0,0.0,0.0,0.0,0.0,0.0,Maham Ofracculy,1,1,1.0,Ofracculy,1.0,B,0,False,True,False,False,True,False,False,False,False,True,False,True,False,False,True,False,True,False,False,False,False,True,False,False
0002_01,F/0/S,24.0,109.0,9.0,25.0,549.0,44.0,Juanna Vines,2,1,1.0,Vines,4.0,F,0,True,False,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False,False,True
0003_01,A/0/S,58.0,43.0,3576.0,0.0,3721.0,49.0,Altark Susent,3,1,2.0,Susent,6.0,A,0,False,True,False,False,True,False,False,False,False,True,False,False,True,False,True,False,False,True,False,False,False,True,False,False
0003_02,A/0/S,33.0,0.0,1283.0,371.0,3329.0,193.0,Solam Susent,3,2,2.0,Susent,6.0,A,0,False,True,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,False,True,False,False
0004_01,F/1/S,16.0,303.0,70.0,151.0,565.0,2.0,Willy Santantines,4,1,1.0,Santantines,6.0,F,1,True,False,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False,True,False
0005_01,F/0/P,44.0,0.0,483.0,0.0,291.0,0.0,Sandie Hinetthews,5,1,1.0,Hinetthews,7.0,F,0,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,True,False,False,False,False,True,False,False
0006_01,F/2/S,26.0,42.0,1539.0,3.0,0.0,0.0,Billex Jacostaffey,6,1,2.0,Jacostaffey,7.0,F,2,True,False,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False,False,True
0006_02,G/0/S,28.0,0.0,0.0,0.0,0.0,242.57260435038214,Candra Jacostaffey,6,2,2.0,Jacostaffey,7.0,G,0,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False,False,True
0007_01,F/3/S,35.0,0.0,785.0,17.0,216.0,0.0,Andona Beston,7,1,1.0,Beston,5.0,F,3,True,False,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False,False
0008_01,B/1/P,14.0,0.0,0.0,0.0,0.0,0.0,Erraiam Flatic,8,1,3.0,Flatic,3.0,B,1,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,True,True,False,False,False,False,False,True,False
0008_02,B/1/P,34.0,0.0,0.0,150.392221567472,0.0,0.0,Altardr Flatic,8,2,3.0,Flatic,3.0,B,1,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,True,True,False,False,False,False,True,False,False
0008_03,B/1/P,45.0,39.0,5292.0,589.0,110.0,124.0,Wezena Flatic,8,3,3.0,Flatic,3.0,B,1,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,True,True,False,False,False,False,True,False,False
0009_01,F/1/P,32.0,73.0,0.0,1123.0,0.0,113.0,Berers Barne,9,1,1.0,Barne,4.0,F,1,False,False,True,False,True,False,False,False,False,True,False,True,False,False,False,True,True,False,False,False,False,True,False,False
0010_01,G/1/S,48.0,719.0,1.0,65.0,0.0,24.0,Reney Baketton,10,1,1.0,Baketton,5.0,G,1,True,False,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,False,True,False,False
0011_01,F/2/P,28.0,8.0,974.0,12.0,2.0,7.0,Elle Bertsontry,11,1,1.0,Bertsontry,4.0,F,2,True,False,False,False,True,False,False,False,False,True,False,True,False,False,False,True,True,False,False,False,False,False,False,True
