PassengerId,CryoSleep,Cabin,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Name,Transported,GroupId,PassengerIdInGroup,MembersOfGroupById,Surname,MembersOfFamilyBySurname,CabinDeck,CabinNum,AgeBinned,HomePlanet_1,HomePlanet_2,HomePlanet_3,CabinSide_1,CabinSide_2,Destination_1,Destination_2,Destination_3
0001_01,False,B/0/P,39.0,False,0.0,0.0,0.0,0.0,0.0,Maham Ofracculy,0,1,1,1.0,Ofracculy,1.0,B,0,2,True,False,False,False,False,False,True,False
0002_01,False,F/0/S,24.0,False,109.0,9.0,25.0,549.0,44.0,Juanna Vines,1,2,1,1.0,Vines,4.0,F,0,4,False,False,False,True,False,False,True,False
0003_01,False,A/0/S,58.0,True,43.0,3576.0,0.0,6715.0,49.0,Altark Susent,0,3,1,2.0,Susent,6.0,A,0,2,True,False,False,True,False,False,True,False
0003_02,False,A/0/S,33.0,False,0.0,1283.0,371.0,3329.0,193.0,Solam Susent,0,3,2,2.0,Susent,6.0,A,0,2,True,False,False,True,False,False,True,False
0004_01,False,F/1/S,16.0,False,303.0,70.0,151.0,565.0,2.0,Willy Santantines,1,4,1,1.0,Santantines,6.0,F,1,3,False,False,False,True,False,False,True,False
0005_01,False,F/0/P,44.0,False,0.0,483.0,0.0,291.0,0.0,Sandie Hinetthews,1,5,1,1.0,Hinetthews,7.0,F,0,2,False,False,False,False,False,True,False,False
0006_01,False,F/2/S,26.0,False,42.0,1539.0,3.0,0.0,0.0,Billex Jacostaffey,1,6,1,2.0,Jacostaffey,7.0,F,2,4,False,False,False,True,False,False,True,False
0006_02,True,G/0/S,28.0,False,0.0,0.0,0.0,0.0,305.0,Candra Jacostaffey,1,6,2,2.0,Jacostaffey,7.0,G,0,4,False,False,False,True,False,False,True,False
0007_01,False,F/3/S,35.0,False,0.0,785.0,17.0,216.0,0.0,Andona Beston,1,7,1,1.0,Beston,5.0,F,3,2,False,False,False,True,False,False,True,False
0008_01,True,B/1/P,14.0,False,0.0,0.0,0.0,0.0,0.0,Erraiam Flatic,1,8,1,3.0,Flatic,3.0,B,1,3,True,False,False,False,False,False,False,False
0008_02,True,B/1/P,34.0,False,0.0,0.0,171.0,0.0,0.0,Altardr Flatic,1,8,2,3.0,Flatic,3.0,B,1,2,True,False,False,False,False,False,True,False
0008_03,False,B/1/P,45.0,False,39.0,7295.0,589.0,110.0,124.0,Wezena Flatic,1,8,3,3.0,Flatic,3.0,B,1,2,True,False,False,False,False,False,False,False
0009_01,False,F/1/P,32.0,False,73.0,0.0,1123.0,0.0,113.0,Berers Barne,1,9,1,1.0,Barne,4.0,F,1,2,False,True,False,False,False,False,True,False
0010_01,False,G/1/S,48.0,False,719.0,1.0,65.0,0.0,24.0,Reney Baketton,0,10,1,1.0,Baketton,5.0,G,1,2,False,False,False,True,False,False,True,False
0011_01,False,F/2/P,28.0,False,8.0,974.0,12.0,2.0,7.0,Elle Bertsontry,1,11,1,1.0,Bertsontry,4.0,F,2,4,False,False,False,False,False,False,True,False
0012_01,False,,31.0,False,32.0,0.0,876.0,0.0,0.0,Justie Pooles,0,12,1,1.0,Pooles,7.0,Unknown,Unknown,2,False,False,False,False,True,False,True,False
0014_01,False,F/3/P,27.0,False,1286.0,122.0,171.0,0.0,0.0,Flats Eccle,0,14,1,1.0,Eccle,1.0,F,3,4,False,True,False,False,False,False,False,False
0015_01,False,F/4/P,24.0,False,0.0,1.0,0.0,0.0,637.0,Carry Hughriend,0,15,1,1.0,Hughriend,7.0,F,4,4,False,False,False,False,False,False,False,False
0016_01,True,F/5/P,45.0,False,0.0,0.0,0.0,0.0,0.0,Alus Upead,1,16,1,1.0,Upead,3.0,F,5,2,False,True,False,False,False,False,True,False
0017_01,False,G/0/P,0.0,False,0.0,0.0,0.0,0.0,0.0,Lyde Brighttt,1,17,1,2.0,Brighttt,6.0,G,0,0,False,False,False,False,False,False,True,False
0017_02,False,F/6/P,14.0,False,412.0,0.0,1.0,0.0,679.0,Philda Brighttt,0,17,2,2.0,Brighttt,6.0,F,6,3,False,False,False,False,False,False,False,False
0020_01,True,E/0/S,1.0,False,0.0,0.0,0.0,0.0,0.0,Almary Brantuarez,0,20,1,6.0,Brantuarez,7.0,E,0,0,False,False,False,True,False,False,True,False
0020_02,True,E/0/S,49.0,False,0.0,0.0,0.0,0.0,0.0,Glendy Brantuarez,0,20,2,6.0,Brantuarez,7.0,E,0,2,False,False,False,True,False,False,False,False
0020_03,True,E/0/S,29.0,False,0.0,0.0,171.0,0.0,0.0,Mollen Mcfaddennon,0,20,3,6.0,Mcfaddennon,6.0,E,0,4,False,False,False,True,False,False,False,False
0020_04,False,E/0/S,10.0,False,0.0,0.0,0.0,0.0,0.0,Breney Jacostanley,1,20,4,6.0,Jacostanley,1.0,E,0,0,False,False,False,True,False,False,True,False
